temp,Year,Month,Country
27,2010,5,FRA 
31,2010,6,FRA 
33,2010,7,FRA 
32,2010,8,FRA 
30,2010,9,FRA 
24,2010,10,FRA 
18,2010,11,FRA 
15,2010,12,FRA 
12,2011,1,FRA 
14,2011,2,FRA 
19,2011,3,FRA 
24,2011,4,FRA 
27,2011,5,FRA 
32,2011,6,FRA 
33,2011,7,FRA 
32,2011,8,FRA 
30,2011,9,FRA 
23,2011,10,FRA 
18,2011,11,FRA 
13,2011,12,FRA 
13,2012,1,FRA 
13,2012,2,FRA 
17,2012,3,FRA 
23,2012,4,FRA 
28,2012,5,FRA 
33,2012,6,FRA 
33,2012,7,FRA 
33,2012,8,FRA 
30,2012,9,FRA 
25,2012,10,FRA 
19,2012,11,FRA 
14,2012,12,FRA 
12,2013,1,FRA 
14,2013,2,FRA 
20,2013,3,FRA 
21,2013,4,FRA 
27,2013,5,FRA 
31,2013,6,FRA 
32,2013,7,FRA 
32,2013,8,FRA 
29,2013,9,FRA 
25,2013,10,FRA 
17,2013,11,FRA 
13,2013,12,FRA 
12,2014,1,FRA 
15,2014,2,FRA 
18,2014,3,FRA 
24,2014,4,FRA 
28,2014,5,FRA 
32,2014,6,FRA 
33,2014,7,FRA 
32,2014,8,FRA 
30,2014,9,FRA 
25,2014,10,FRA 
16,2014,11,FRA 
13,2014,12,FRA 
11,2015,1,FRA 
13,2015,2,FRA 
18,2015,3,FRA 
23,2015,4,FRA 
29,2015,5,FRA 
32,2015,6,FRA 
34,2015,7,FRA 
32,2015,8,FRA 
28,2015,9,FRA 
25,2015,10,FRA 
18,2015,11,FRA 
13,2015,12,FRA 
10,1991,1,DZA 
13,1991,2,DZA 
18,1991,3,DZA 
21,1991,4,DZA 
24,1991,5,DZA 
30,1991,6,DZA 
32,1991,7,DZA 
32,1991,8,DZA 
29,1991,9,DZA 
23,1991,10,DZA 
17,1991,11,DZA 
12,1991,12,DZA 
10,1992,1,DZA 
13,1992,2,DZA 
17,1992,3,DZA 
21,1992,4,DZA 
25,1992,5,DZA 
30,1992,6,DZA 
31,1992,7,DZA 
32,1992,8,DZA 
29,1992,9,DZA 
23,1992,10,DZA 
16,1992,11,DZA 
13,1992,12,DZA 
10,1993,1,DZA 
13,1993,2,DZA 
18,1993,3,DZA 
22,1993,4,DZA 
26,1993,5,DZA 
32,1993,6,DZA 
32,1993,7,DZA 
32,1993,8,DZA 
29,1993,9,DZA 
24,1993,10,DZA 
18,1993,11,DZA 
13,1993,12,DZA 
11,1994,1,DZA 
14,1994,2,DZA 
19,1994,3,DZA 
21,1994,4,DZA 
28,1994,5,DZA 
31,1994,6,DZA 
33,1994,7,DZA 
33,1994,8,DZA 
28,1994,9,DZA 
23,1994,10,DZA 
18,1994,11,DZA 
13,1994,12,DZA 
10,1995,1,DZA 
15,1995,2,DZA 
17,1995,3,DZA 
21,1995,4,DZA 
28,1995,5,DZA 
31,1995,6,DZA 
33,1995,7,DZA 
32,1995,8,DZA 
30,1995,9,DZA 
24,1995,10,DZA 
18,1995,11,DZA 
15,1995,12,DZA 
14,1996,1,DZA 
14,1996,2,DZA 
18,1996,3,DZA 
22,1996,4,DZA 
27,1996,5,DZA 
30,1996,6,DZA 
32,1996,7,DZA 
32,1996,8,DZA 
29,1996,9,DZA 
23,1996,10,DZA 
17,1996,11,DZA 
14,1996,12,DZA 
13,1997,1,DZA 
15,1997,2,DZA 
17,1997,3,DZA 
21,1997,4,DZA 
27,1997,5,DZA 
32,1997,6,DZA 
33,1997,7,DZA 
32,1997,8,DZA 
29,1997,9,DZA 
24,1997,10,DZA 
18,1997,11,DZA 
14,1997,12,DZA 
13,1998,1,DZA 
15,1998,2,DZA 
18,1998,3,DZA 
23,1998,4,DZA 
27,1998,5,DZA 
32,1998,6,DZA 
34,1998,7,DZA 
32,1998,8,DZA 
30,1998,9,DZA 
23,1998,10,DZA 
17,1998,11,DZA 
12,1998,12,DZA 
13,1999,1,DZA 
12,1999,2,DZA 
18,1999,3,DZA 
23,1999,4,DZA 
28,1999,5,DZA 
31,1999,6,DZA 
33,1999,7,DZA 
32,1999,8,DZA 
30,1999,9,DZA 
25,1999,10,DZA 
17,1999,11,DZA 
13,1999,12,DZA 
11,2000,1,DZA 
14,2000,2,DZA 
19,2000,3,DZA 
24,2000,4,DZA 
28,2000,5,DZA 
31,2000,6,DZA 
33,2000,7,DZA 
32,2000,8,DZA 
29,2000,9,DZA 
22,2000,10,DZA 
18,2000,11,DZA 
14,2000,12,DZA 
12,2001,1,DZA 
16,2001,2,DZA 
21,2001,3,DZA 
23,2001,4,DZA 
